step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
128,264192,2048,0.0049756487705033695,0.9375,0.9375,,,,,
129,266256,2064,0.0062978458374646044,0.875,0.875,0.004434626796826763,0.875,0.875,,
130,268320,2080,0.0029009977721173707,1.0,1.0,,,,,
131,270384,2096,0.005539170631333522,0.875,0.875,,,,,
132,272448,2112,0.004645442564633952,0.75,0.75,,,,,
133,274512,2128,0.0031254992372697636,0.9375,0.9375,,,,,
134,276576,2144,0.0038359005431574085,0.875,0.875,,,,,
135,278640,2160,0.0028793801686512886,1.0,1.0,,,,,
136,280704,2176,0.0035039921835212148,1.0,1.0,,,,,
137,282768,2192,0.006766406764018861,0.75,0.75,0.003137680272891402,1.0,1.0,,
138,284832,2208,0.004572746649502955,0.875,0.875,,,,,
139,286896,2224,0.0036897016321325287,0.9375,0.9375,,,,,
140,288960,2240,0.005644956902253966,0.875,0.875,,,,,
141,291024,2256,0.00436158973693481,0.9375,0.9375,,,,,
142,293088,2272,0.005065289110610825,0.875,0.875,,,,,
143,295152,2288,0.0046341549882642505,0.8125,0.8125,,,,,
144,297216,2304,0.004160880434619188,0.875,0.875,,,,,
145,299280,2320,0.003444387362625367,0.9375,0.9375,0.00347371901214199,0.9375,0.9375,,
146,301344,2336,0.0027273660384596957,1.0,1.0,,,,,
147,303408,2352,0.004653717015995502,0.875,0.875,,,,,
148,305472,2368,0.003614870166187428,0.9375,0.9375,,,,,
149,307536,2384,0.0043597900599510655,0.9375,0.9375,,,,,
150,309600,2400,0.004240095364764867,0.8125,0.8125,,,,,
151,311664,2416,0.005162542261220023,0.875,0.875,,,,,
152,313728,2432,0.003866723185943219,0.9375,0.9375,,,,,
153,315792,2448,0.005510192484622005,0.75,0.75,0.0035594189265619157,0.9375,0.9375,,
154,317856,2464,0.004572398841019306,0.8125,0.8125,,,,,
155,319920,2480,0.0032908772532698714,0.9375,0.9375,,,,,
156,321984,2496,0.003691972612555502,0.875,0.875,,,,,
157,324048,2512,0.003161919674681154,0.9375,0.9375,,,,,
158,326112,2528,0.0032035694109556635,1.0,1.0,,,,,
159,328176,2544,0.003976422037374186,0.9375,0.9375,,,,,
160,330240,2560,0.004407763208211988,0.75,0.75,,,,,
161,332304,2576,0.003289376821207189,0.9375,0.9375,0.002777633381212989,1.0,1.0,,
162,334368,2592,0.005055382543437575,0.8125,0.8125,,,,,
163,336432,2608,0.0035853074679091388,0.9375,0.9375,,,,,
164,338496,2624,0.0035699759709461303,0.9375,0.9375,,,,,
165,340560,2640,0.0037215830752578825,0.9375,0.9375,,,,,
166,342624,2656,0.003774286325665362,0.9375,0.9375,,,,,
167,344688,2672,0.0029599772220179413,1.0,1.0,,,,,
168,346752,2688,0.0037265537560465228,1.0,1.0,,,,,
169,348816,2704,0.004977256954347517,0.875,0.875,0.002687490497960556,1.0,1.0,,
170,350880,2720,0.002622027954566553,1.0,1.0,,,,,
171,352944,2736,0.0036891818496971565,0.9375,0.9375,,,,,
172,355008,2752,0.0034910774233168065,0.875,0.875,,,,,
173,357072,2768,0.002875366970788647,1.0,1.0,,,,,
174,359136,2784,0.005962652413825914,0.9375,0.9375,,,,,
175,361200,2800,0.0032584641612798688,0.9375,0.9375,,,,,
176,363264,2816,0.0033142099814621223,0.9375,0.9375,,,,,
177,365328,2832,0.003971966162994524,0.875,0.875,0.0031504412248067742,1.0,1.0,,
178,367392,2848,0.0038283760502311557,0.875,0.875,,,,,
179,369456,2864,0.0028345442780734003,1.0,1.0,,,,,
180,371520,2880,0.0043274364659498,0.875,0.875,,,,,
181,373584,2896,0.004483831891801604,0.875,0.875,,,,,
182,375648,2912,0.004066108246945016,0.875,0.875,,,,,
183,377712,2928,0.0038198299646284165,0.875,0.875,,,,,
184,379776,2944,0.004444756417973068,0.875,0.875,,,,,
185,381840,2960,0.0037830659405783287,0.9375,0.9375,0.0032166535505654863,0.9375,0.9375,,
186,383904,2976,0.004061762492720634,0.875,0.875,,,,,
187,385968,2992,0.00412833368691916,0.9375,0.9375,,,,,
